,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,East London,90,ZA,1559790160,67,-33.02,27.91,48.2,3.89
1,Ushuaia,0,AR,1559790011,87,-54.81,-68.31,42.8,17.22
2,Punta Arenas,75,CL,1559790162,73,-53.16,-70.91,39.2,17.22
3,Flinders,0,AU,1559790163,36,-34.58,150.85,64.99,4.7
4,Rikitea,100,PF,1559790164,85,-23.12,-134.97,77.0,13.69
5,Ilo,38,PE,1559790165,84,-17.65,-71.34,62.24,4.56
6,Kodiak,1,US,1559790167,41,39.95,-94.76,80.6,8.05
7,El Sauzal,0,AR,1559790168,100,-24.3,-64.96,51.8,8.05
8,Vestmanna,100,FO,1559790169,100,62.16,-7.17,42.8,11.41
9,Marawi,100,PH,1559790170,78,8.0,124.29,84.0,5.99
10,Kaoma,0,ZM,1559790171,70,-14.8,24.8,49.82,3.74
11,Mataura,98,NZ,1559790172,77,-46.19,168.86,47.48,8.59
12,Vila Velha,75,BR,1559790174,74,-3.71,-38.6,82.4,9.17
13,Torbay,75,CA,1559790175,66,47.66,-52.73,50.0,14.99
14,Port Alfred,6,ZA,1559790176,80,-33.59,26.89,55.99,7.0
15,Sao Joao da Barra,0,BR,1559790177,93,-21.64,-41.05,60.44,3.24
16,Clyde River,92,CA,1559790178,75,70.47,-68.59,33.98,7.63
17,Cape Town,75,ZA,1559790033,87,-33.93,18.42,52.0,5.82
18,Ribeira Grande,79,PT,1559790181,90,38.52,-28.7,65.3,15.32
19,Luderitz,36,NA,1559790182,76,-26.65,15.16,53.6,9.17
20,Kawalu,48,ID,1559790183,60,-7.38,108.21,82.22,4.38
21,Angoche,6,MZ,1559790184,96,-16.23,39.91,68.36,5.41
22,Yeppoon,0,AU,1559790185,30,-23.13,150.74,71.6,14.99
23,Codrington,0,AU,1559790186,52,-28.95,153.24,69.01,9.17
24,Lebu,61,ET,1559790188,75,8.96,38.73,56.66,1.63
25,Aviles,20,ES,1559790189,93,43.55,-5.92,48.99,8.05
26,Ponta do Sol,0,BR,1559790190,96,-20.63,-46.0,51.98,6.17
27,Saint-Francois,90,FR,1559790191,93,46.42,3.91,48.0,3.06
28,Thompson,75,CA,1559790192,71,55.74,-97.86,57.2,5.82
29,Atuona,2,PF,1559790194,78,-9.8,-139.03,82.22,19.71
30,Mwense,0,ZM,1559790195,92,-10.39,28.7,53.96,2.93
31,Beloha,0,MG,1559790196,72,-25.17,45.06,66.56,4.72
32,Hermanus,90,ZA,1559790197,91,-34.42,19.24,50.0,1.99
33,Viransehir,99,TR,1559790198,24,37.24,39.76,75.02,3.2
34,Airai,93,TL,1559790199,49,-8.93,125.41,86.36,4.61
35,Butaritari,55,KI,1559790201,79,3.07,172.79,85.1,16.11
36,Fortuna,0,ES,1559790202,28,38.18,-1.13,68.0,9.17
37,Ampanihy,0,MG,1559790203,70,-24.69,44.75,66.92,5.79
38,Emerald,100,AU,1559790204,42,-23.53,148.16,66.2,18.34
39,Kapit,34,MY,1559790205,52,2.02,112.94,92.66,1.99
40,Hilo,90,US,1559790058,74,19.71,-155.08,78.8,11.41
41,Avarua,0,CK,1559790208,73,-21.21,-159.78,77.0,12.75
42,Amuntai,48,ID,1559790130,55,-2.42,115.25,93.2,0.87
43,Vaini,75,IN,1559790210,88,15.34,74.49,71.6,5.82
44,Upernavik,100,GL,1559790211,72,72.79,-56.15,39.38,3.44
45,Hithadhoo,35,MV,1559790212,80,-0.6,73.08,84.2,10.74
46,Meulaboh,97,ID,1559790213,76,4.14,96.13,81.86,4.45
47,Bredasdorp,23,ZA,1559790215,87,-34.53,20.04,50.0,8.05
48,Jamestown,0,AU,1559790216,45,-33.21,138.6,56.84,5.95
49,Dano,9,BF,1559790217,66,11.14,-3.06,81.32,10.31
50,Leningradskiy,23,RU,1559790219,85,69.38,178.42,35.78,7.27
51,Taoudenni,0,ML,1559790220,12,22.68,-3.98,94.1,10.47
52,New Norfolk,75,AU,1559790221,51,-42.78,147.06,60.01,11.41
53,Busselton,100,AU,1559790222,12,-33.64,115.35,70.0,39.59
54,Dongsheng,99,CN,1559790223,65,29.72,112.52,79.34,5.53
55,Dvorichna,0,UA,1559790225,81,49.85,37.68,58.1,9.15
56,Talcahuano,75,CL,1559790226,93,-36.72,-73.12,57.2,10.29
57,Iberia,0,PE,1559790227,80,-11.41,-69.49,69.26,1.16
58,Nichinan,40,JP,1559790228,74,31.65,131.31,84.99,8.05
59,Kinkala,45,CG,1559790229,90,-4.35,14.75,65.66,6.02
60,Provideniya,40,RU,1559790230,81,64.42,-173.23,42.8,13.42
61,Athabasca,79,CA,1559790231,53,54.72,-113.29,57.38,2.86
62,Mar del Plata,100,AR,1559790233,60,-46.43,-67.52,46.04,10.07
63,Pandan,99,PH,1559790234,71,11.72,122.09,85.46,15.23
64,Galveston,1,US,1559790235,78,40.58,-86.19,72.0,3.98
65,Pangoa,0,PE,1559790236,75,-12.12,-73.0,66.92,2.93
66,Tuktoyaktuk,20,CA,1559790237,43,69.44,-133.03,55.4,17.22
67,Naze,75,NG,1559790238,94,5.43,7.07,71.6,6.29
68,Hobart,75,AU,1559790240,51,-42.88,147.33,60.01,11.41
69,Vila Franca do Campo,75,PT,1559790241,88,37.72,-25.43,64.4,18.34
70,Riyadh,0,SA,1559790018,18,24.63,46.72,80.6,2.24
71,Sumperk,0,CZ,1559790243,94,49.97,16.97,64.99,9.28
72,Isangel,90,VU,1559790244,83,-19.55,169.27,77.0,11.41
73,Castro,90,CL,1559790246,100,-42.48,-73.76,46.4,11.41
74,Kasangulu,40,CD,1559790247,88,-4.59,15.17,71.6,4.7
75,Northam,3,GB,1559790248,91,51.04,-4.21,48.0,1.01
76,Constitucion,5,MX,1559790249,15,23.99,-104.67,80.6,9.17
77,Yulara,0,AU,1559790250,35,-25.24,130.99,55.4,20.8
78,Kapaa,40,US,1559790123,74,22.08,-159.32,84.2,13.87
79,Iqaluit,90,CA,1559790252,86,63.75,-68.52,37.4,10.29
80,Robertsport,97,LR,1559790254,90,6.75,-11.37,76.46,2.59
81,Puerto Colombia,75,CO,1559790255,88,10.99,-74.96,82.4,6.93
82,Naron,0,ES,1559790256,76,43.52,-8.15,53.6,11.41
83,Kutum,100,SD,1559790257,53,14.2,24.66,78.26,8.77
84,Qaanaaq,80,GL,1559790258,78,77.48,-69.36,24.26,2.37
85,Port Elizabeth,90,US,1559790260,94,39.31,-74.98,73.4,5.82
86,Albany,90,US,1559790012,100,42.65,-73.75,66.99,5.97
87,Araouane,0,ML,1559790262,9,18.9,-3.53,89.06,4.79
88,Sokoto,56,NG,1559790263,33,13.06,5.24,91.04,9.19
89,Port Hardy,75,CA,1559790216,76,50.7,-127.42,51.8,6.93
90,Nikolskoye,0,RU,1559790265,82,59.7,30.79,71.01,2.24
91,Chuy,78,UY,1559790266,74,-33.69,-53.46,63.5,19.17
92,Hattiesburg,20,US,1559790268,94,31.33,-89.29,75.0,5.82
93,Bandarbeyla,100,SO,1559790269,69,9.49,50.81,79.34,13.11
94,Ormond Beach,1,US,1559790003,78,29.29,-81.06,82.0,6.93
95,Bluff,100,AU,1559790271,33,-23.58,149.07,69.44,18.43
96,Bugene,83,TZ,1559790272,91,-1.59,31.14,61.7,2.42
97,Beringovskiy,94,RU,1559790273,59,63.05,179.32,54.68,11.14
98,Shimoda,75,JP,1559790275,78,34.7,138.93,78.8,3.36
99,Puerto Ayora,10,EC,1559790276,92,-0.74,-90.35,73.0,11.01
100,Guerrero Negro,0,MX,1559790277,87,27.97,-114.04,65.12,13.11
101,Hofn,100,IS,1559790278,83,64.25,-15.21,28.76,19.53
102,Ilulissat,8,GL,1559790279,56,69.22,-51.1,42.8,3.36
103,Khatanga,15,RU,1559790280,46,71.98,102.47,58.64,4.59
104,Cayenne,49,GF,1559790282,88,4.94,-52.33,78.8,3.36
105,Masaki,40,JP,1559790283,78,33.79,132.71,78.8,5.82
106,Lompoc,90,US,1559790112,93,34.64,-120.46,66.99,4.7
107,Labuhan,47,ID,1559790285,53,-2.54,115.51,92.66,1.14
108,Guane,43,CU,1559790286,77,22.2,-84.09,83.66,6.82
109,Longyan,98,CN,1559790288,88,25.1,117.03,76.1,2.75
110,Shetpe,60,KZ,1559790289,28,44.14,52.16,72.5,15.12
111,Saint-Philippe,90,CA,1559790290,93,45.36,-73.48,61.0,3.6
112,Kruisfontein,99,ZA,1559790019,86,-34.0,24.73,50.18,13.29
113,Egvekinot,89,RU,1559790292,63,66.32,-179.17,52.34,7.2
114,Sorland,71,NO,1559790293,83,67.67,12.69,49.28,15.82
115,Te Anau,93,NZ,1559790295,88,-45.41,167.72,38.66,4.45
116,Chokurdakh,2,RU,1559790060,38,70.62,147.9,46.22,7.2
117,Longyearbyen,75,NO,1559790297,80,78.22,15.63,33.8,16.11
118,Norman Wells,75,CA,1559790298,66,65.28,-126.83,48.2,9.17
119,Havelock,90,US,1559790299,74,34.88,-76.9,79.0,10.29
120,Saint George,20,GR,1559790300,93,39.45,22.34,59.0,3.11
